Aalig, Abart, Abbau, Abend, Abort, Abzug, Acker, Adeln, Adler, Affix, After, 
Agent, Ahorn, Aktiv, Alarm, Alane, Alibi, Alles, Altar, Ambra, Ampel, 
Irren, Irrer, Irrig, Jacht, Jacke, Jagen, Jäger, Jäten, Jauch, Jause, 
Jecke, Jeder, Jedes, Jodel, Joker, Jokus, Jolly, Jolle, Joppe, Jubel, 
Jumbo, Junta, Juppe, Juwel, Juxen, Kabel, Kabis, Kacke, Kader, Käfer, 
Käfig, Kajak, Kakao, Kalbe, Kalif, Kalke, Kalla, Kalle, Kalme, Kamel, 
Kamin, Kämpe, Kampf, Kanal, Kanat, Kanin, Kanne, Kanon, Kante, Kanu, 
Kappe, Karat, Karbe, Karde, Karge, Karma, Karre, Karst, Karte, Kasko, 
Kassa, Kasse, Kasso, Kaste, Kasus, Kater, Katze, Kauen, Kauma, Kauri, 
Kecke, Keese, Kegel, Kehle, Kehre, Keife, Keile, Keime, Keine, Keins, 
Kelch, Kelle, Kelte, Kenne, Kerbe, Kerne, Knaur, Kerub, Kerze, Kesse, 
Kette, Keule, Khaki, Kieme, Kiepe, Kilo, Kimme, Kiosk, Kippe, Kirbe, 
Kiste, Kitte, Klack, Klage, Klamm, Klang, Klapp, Klaps, Klare, Klass, 
Klaue, Klebe, Kleck, Kleid, Kleie, Klein, Klemm, Klenk, Klick, Klieb, 
Klipp, Klirr, Kloak, Klobe, Klopf, Klops, Klotz, Kluft, Klump, Klüft, 
Knabe, Knack, Knall, Knapp, Knaps, Knarr, Knast, Knauf, Kneif, Knete, 
Knick, Kniff, Knips, Knopf, Knorr, Knote, Knuff, Knüll, Koala, Kobra, 
Kodex, Köder, Kokon, Kolbe, Kolik, Kollo, Komet, Komik, Komma, König, 
Konto, Kopie, Koppe, Korde, Korps, Korre, Korso, Kosak, Kosel, Köter, 
Kotze, Krach, Kraft, Krage, Krähe, Kralle, Krams, Krank, Kranz, Krapp, 
Krass, Kraul, Kraut, Kraus, Krebs, Kredo, Kreis, Kreml, Kreuz, Krick, 
Krill, Kring, Krise, Kroat, Krone, Kropf, Kröte, Krull, Krume, Krumm, 
Krupp, Krude, Kübel, Küfer, Kugel, Kuhle, Küken, Kulak, Kulme, Kumin, 
Kumme, Kumst, Kunde, Kunst, Kupee, Kupfer, Kupon, Kuppe, Kurat, Kurbe, 
Kurie, Kurre, Kurse, Kurve, Kusch, Küste, Kuter, Kutte, Labil, Lache, 
Lachs, Laden, Lader, Lager, Lagig, Lahme, Lalle, Lampe, Lanze, Larve, 
Laser, Lasso, Lasur, Latte, Laube, Lauch, Lauer, Lauge, Laune, Lause, 
Laute, Leben, Leber, Lecke, Leder, Leere, Lefze, Legen, Leger, Lehen, 
Lehne, Lehre, Leich, Leier, Leime, Leine, Leise, Leist, Lemma, Lende, 
Lenze, Lepra, Lesen, Leser, Letzt, Leune, Licht, Liebe, Liege, Limes, 
Limon, Linde, Linge, Linie, Linse, Liste, Liter, Litze, Lobby, Loden, 
Logge, Logik, Logis, Lohne, Lokus, Lolch, Lorke, Lotto, Lotus, Luchs, 
Lücke, Luder, Lügen, Lüner, Lunte, Lupfe, Luppe, Lurch, Luxus, Lymph, 
Lyrik, Macis, Macht, Macke, Mafia, Mager, Magie, Magma, Magus, Mahdi, 
Mahle, Mahne, Maile, Makel, Makro, Malen, Maler, Malus, Malve, Mampf, 
Manko, Mappe, Marge, Marke, Markt, Marne, Marsch, Maske, Masse, Match, 
Matte, Mauer, Mauke, Maure, Mäzen, Media, Meile, Meine, Meins, Meise, 
Meist, Melde, Melke, Menge, Mergel, Messe, Meson, Meter, Metro, Mette, 
Meute, Miene, Mieze, Milch, Milde, Miliz, Mimik, Mimus, Minne, Minus, 
Minze, Misch, Miste, Mitte, Mixen, Mixer, Mobil, Model, Modem, Moder, 
Modus, Mögen, Molch, Molke, Molle, Molli, Monat, Mönch, Moped, Moral, 
Mores, Motiv, Motor, Motto, Mucke, Muffe, Mühen, Muhme, Mulch, Mulde, 
Mulla, Multi, Mumie, Mural, Murks, Mürbe, Murre, Musik, Mutig, Mutti, 
Mutze, Mütze, Mythe, Nabel, Nacht, Nackt, Nadel, Nadir, Nagel, Nagen, 
Nager, Nahme, Naive, Namen, Narbe, Nasal, Nativ, Nässe, Natur, Nebel, 
Neben, Neffe, Neige, Nelke, Neper, Neppe, Nerze, Netto, Neunt, Nicht, 
Nicke, Niere, Niete, Nippe, Nobis, Noble, Nocke, Nomen, Nonne, Noppe, 
Norne, Notar, Notiz, Novum, Nubuk, Nudel, Nulpe, Nylon, Obere, Obhut, 
Ocker, Odem, Odeur, Odium, Offen, Oheim, Oktan, Oktav, Ölung, Olymp, 
Onkel, Opfer, Opium, Optik, Orale, Orant, Orbit, Order, Organ, Orgel, 
Orgie, Ornat, Osten, Otter, Ozean, Pacht, Packe, Paket, Palme, Panda, 
Panik, Panne, Pappe, Papst, Party, Passa, Paste, Patte, Pauke, Pause, 
Pedal, Pegel, Peile, Pelle, Pelze, Penne, Perle, Pfahl, Pfand, Pfote, 
Pflug, Pfund, Phase, Piano, Picke, Pikee, Pille, Pilot, Pinte, Pique, 
Pirat, Piste, Pixel, Plage, Plaid, Plump, Pöbel, Pokal, Polar, Polio, 
Polis, Polyp, Porös, Porst, Porto, Posse, Prall, Preis, Pries, Prima, 
Prise, Prosa, Prost, Prunk, Puder, Pumpe, Punkt, Puppe, Püree, Puste, 
Pylon, Quade, Qualm, Quant, Quark, Quart, Quarz, Quasi, Quast, Quell, 
Quere, Quirl, Quitt, Quote, Rache, Radar, Radio, Radon, Raine, Ralle, 
Rampe, Ranke, Rappe, Rasch, Rasen, Rasur, Raten, Ratio, Ratte, Rauch, 
Rauhe, Raupe, Raute, Rayon, Reale, Realo, Recht, Recke, Reden, Regal, 
Regel, Regie, Reibe, Reich, Reife, Reihe, Reine, Reise, Reite, Reize, 
Relikt, Renne, Rente, Reste, Reue, Revue, Riege, Riese, Rigid, Rille, 
Rinde, Rings, Rinne, Rippe, Ritus, Robbe, Roche, Rogen, Rogge, Rolle, 
Roman, Route, Rubel, Rubin, Rudel, Ruder, Rumpf, Runde, Runge, Runne, 
Rüpel, Rußig, Saale, Sabot, Sache, Sacht, Sahne, Saite, Salat, Salbe, 
Saldo, Salon, Salto, Salve, Samen, Sämig, Sanft, Sappe, Sarge, Satin, 
Satte, Sauce, Säure, Säule, Sauna, Saure, Schah, Schal, Scham, Schar, 
Schau, Scheu, Schmu, Schon, Schot, Schub, Schuh, Schur, Seele, Segen, 
Sehen, Seher, Seide, Seife, Seite, Sekte, Selen, Selig, Senat, Sende, 
Senil, Senne, Sente, Serie, Serum, Sicht, Siege, Silbe, Sinus, Sippe, 
Sitte, Skala, Skalp, Smart, Snack, Socke, Sogar, Sohle, Somit, Sonar, 
Sonde, Sonne, Sorge, Sorte, Sound, Spalt, Spann, Spatz, Speck, Speer, 
Sperr, Speuz, Spezi, Spiel, Spion, Spott, Spray, Spreu, Sprit, Spule, 
Spund, Spurt, Staat, Stadt, Stahl, Stall, Stamm, Stand, Stapf, Stark, 
Starr, Start, Staub, Steak, Steig, Steil, Stein, Stere, Stern, Stich, 
Stiel, Stier, Stift, Still, Stirn, Stock, Stoff, Stolz, Stopf, Stopp, 
Strak, Streu, Strom, Stube, Stuck, Stufe, Stuhl, Stumm, Stump, Sturm, 
Stute, Suche, Sucht, Suhle, Sühne, Sülze, Sumpf, Sünde, Super, Suppe, 
Szene, Tadel, Tafel, Taiga, Takel, Talar, Taler, Talle, Tango, Tanne, 
Tante, Tarif, Tatze, Taube, Tauch, Teddy, Teich, Tenne, Tenor, Terme, 
Teuer, Thema, Thron, Tiefe, Tiger, Tinte, Tisch, Titel, Toast, Tonne, 
Topas, Torso, Total, Totem, Töten, Trafo, Trage, Trakt, Trank, Traum, 
Treff, Treib, Trend, Treue, Trick, Trieb, Trink, Trock, Tross, Trost, 
Tröte, Trotz, Trübe, Trupp, Tukan, Tulpe, Tumor, Tuner, Tunke, Tunte, 
Tupel, Turbe, Tusch, Tweed, Übung, Ulken, Umbau, Umber, Unrat, Untat, 
Urahn, Urban, Urtyp, Vager, Valve, Vanne, Varia, Varix, Vater, Vegan, 
Venus, Verve, Video, Viele, Villa, Viole, Viper, Virus, Visum, Vital, 
Vitro, Vlies, Vogel, Vokal, Volle, Volte, Vorab, Voran, Vorig, Vorne, 
Votum, Waage, Wache, Wachs, Waffe, Wagen, Waise, Walte, Walze, Wange, 
Wanst, Wanze, Wappe, Wärme, Warte, Warze, Wasen, Waten, Watte, Weben, 
Weber, Weich, Weide, Weihe, Weile, Weise, Weite, Welle, Welpe, Werft, 
Werte, Wesen, Wespe, Weste, Wette, Wetze, Wider, Wiege, Wiese, Wieso, 
Wilde, Wille, Winde, Wippe, Witwe, Wobei, Woche, Wohin, Wohne, Wolke, 
Wolle, Wonne, Woran, Worin, Worum, Wrack, Wucht, Wulst, Wunde, Wurde, 
Würde, Wurst, Yacht, Zacke, Zähre, Zange, Zebra, Zeche, Zeder, Zeige, 
Zeile, Zelle, Zeste, Zeuge, Zicke, Ziege, Zille, Zinne, Zirpe, Zitat, 
Zitze, Zivil, Zobel, Zober, Zoffe, Zopfe, Zotig, Zuber, Zucht, Zügel, 
Zumal, Zunft, Zunge, Zuvor, Zwang, Zweck, Zweig, Zwerg, Zwirn, Zwist, 
Zutun, Zyste
